Change Log
==================================================

File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/20.md | Original: 'stayzlonger' | Updated: 'stayz longer'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/20.md | Original: 'goezfor' | Updated: 'goez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/20.md | Original: 'izzy' | Updated: 'izz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/30.md | Original: 'getzthe' | Updated: 'getz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/04.md | Original: 'fiddlezwith' | Updated: 'fiddlez with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/04.md | Original: 'needzdo' | Updated: 'needz do'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/04.md | Original: 'contemplatez
_aress' | Updated: 'contemplatez 
_aress'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'z2' | Updated: 'z 2'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'waitztill' | Updated: 'waitz till'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'arrangezfor' | Updated: 'arrangez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'rendezvous' | Updated: 'rendez vous'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'eatztoo' | Updated: 'eatz too'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/15.md | Original: 'spinzfor' | Updated: 'spinz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/05.md | Original: 'fixezthe' | Updated: 'fixez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/05.md | Original: 'bringzlifebook' | Updated: 'bringz lifebook'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/05.md | Original: 'fixezher' | Updated: 'fixez her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/05.md | Original: 'forgetzcoat' | Updated: 'forgetz coat'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/05.md | Original: 'jazz-to' | Updated: 'jazz -to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/25.md | Original: 'tacklezthe' | Updated: 'tacklez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/11.md | Original: 'kwitzsaderath' | Updated: 'kwitz saderath'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/01.md | Original: 'runzfor' | Updated: 'runz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/01.md | Original: 'eyez-on' | Updated: 'eyez -on'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/28.md | Original: 'findzthe' | Updated: 'findz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/28.md | Original: 'attackzthe' | Updated: 'attackz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/18.md | Original: 'letzgo' | Updated: 'letz go'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/18.md | Original: 'crazy' | Updated: 'craz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/18.md | Original: 'runzmostly' | Updated: 'runz mostly'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/18.md | Original: 'finishezdecently' | Updated: 'finishez decently'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/02/08.md | Original: 'closezwith' | Updated: 'closez with'
